Tag,Positive Count,Negative Count,Accuracy,Positive Accuracy,Negative Accuracy
Abstract,136,101749,0.5435328747269087,0.08823529411764706,0.9988304553361704
Achievements,417,101468,0.5595052400544184,0.1223021582733813,0.9967083218354555
Addon,10230,91655,0.663436535484415,0.3601173020527859,0.9667557689160439
Advanced,116,101769,0.5189395287027654,0.05172413793103448,0.9861549194744962
Animal,68,101817,0.5620710657933582,0.1323529411764706,0.9917891904102458
Anime,2332,99553,0.5503688063689288,0.10548885077186965,0.995248761965988
Arena,265,101620,0.6754592581314776,0.35471698113207545,0.9962015351308797
Assets,122,101763,0.5295059575100809,0.08196721311475409,0.9770447019054077
Audio,4389,97496,0.5394990072957968,0.08954203691045796,0.9894559776811357
Automation,164,101721,0.5300159259150028,0.06097560975609756,0.9990562420739081
Biomes,301,101584,0.6347458581648089,0.2724252491694352,0.9970664671601827
Body,1579,100306,0.5068079232961956,0.044331855604813175,0.969283990987578
Building,1801,100084,0.6529091770575126,0.33092726263187117,0.9748910914831541
Campaigns,1063,100822,0.5543626684980598,0.11100658513640639,0.9977187518597131
Cards,412,101473,0.7902288250382545,0.5849514563106796,0.9955061937658294
Cartoon,1270,100615,0.5104720144340651,0.02204724409448819,0.9988967847736421
Characters,1156,100729,0.5798464488000126,0.17647058823529413,0.9832223093647311
Client-side,4573,97312,0.5071735106040035,0.015744587797944458,0.9986024334100625
Clothing,2455,99430,0.5065953122205943,0.017515274949083504,0.995675349492105
Co-op,580,101305,0.5306494641480405,0.06724137931034482,0.9940575489857362
Code Mods,296,101589,0.5,0.0,1.0
Combat,1226,100659,0.5377011132849854,0.09380097879282219,0.9816012477771486
Contraptions,86,101799,0.5462218411703683,0.09302325581395349,0.9994204265267832
Cosmetic,2340,99545,0.5283555455098475,0.06111111111111111,0.9955999799085841
Customizable,1341,100544,0.5344955544744865,0.07606263982102908,0.992928469127944
Decor,866,101019,0.5471555358975183,0.10161662817551963,0.9926944436195171
Dependency,103,101782,0.5035967791813953,0.009708737864077669,0.9974848204987129
Development Tools,203,101682,0.49998524812651207,0.0,0.9999704962530241
Dresses,594,101291,0.5056651873471729,0.011784511784511785,0.999545862909834
Enemies,332,101553,0.554149969646095,0.12349397590361445,0.9848059633885754
Equipment,421,101464,0.5397198201231829,0.08788598574821853,0.9915536544981471
Events,630,101255,0.6699438710845556,0.3523809523809524,0.9875067897881586
