Tag,Alpha,Positive Count,Negative Count,Accuracy,Positive Accuracy,Negative Accuracy
Abstract,0.16633984375,34,20343,0.8675060940170198,0.9411764705882353,0.7938357174458045
Achievements,1.5624999999999702e-06,89,20288,0.8338537420692589,0.8876404494382022,0.7800670347003155
Addon,8.593749999999972e-06,2031,18346,0.8297134494910271,0.7439684884293452,0.915458410552709
Advanced,0.012475,23,20354,0.7971683805341114,0.8695652173913043,0.7247715436769185
Animal,8.593749999999962e-06,10,20367,0.718495605636569,0.6,0.8369912112731379
Anime,8.593749999999972e-06,461,19916,0.8842024790453964,0.9414316702819957,0.826973287808797
Arena,1.5624999999999994e-05,52,20325,0.7631161888541962,0.9038461538461539,0.6223862238622386
Assets,8.593749999999972e-06,22,20355,0.7871173042138406,0.9090909090909091,0.6651436993367723
Audio,0.7176953125000002,887,19490,0.8449490473824347,0.7869222096956031,0.9029758850692663
Automation,1.5624999999999973e-05,31,20346,0.7801208448676604,0.967741935483871,0.59249975425145
Biomes,8.593749999999972e-06,62,20315,0.8009690122506015,0.8870967741935484,0.7148412503076544
Body,8.593749999999972e-06,318,20059,0.9148243028976469,0.9968553459119497,0.8327932598833442
Building,8.593749999999972e-06,385,19992,0.7041716686674669,0.5142857142857142,0.8940576230492197
Campaigns,8.593749999999972e-06,202,20175,0.7940068951133031,0.7128712871287128,0.8751425030978934
Cards,0.011237500000000001,73,20304,0.8558567311117589,0.863013698630137,0.8486997635933806
Cartoon,0.0005499999999999999,242,20135,0.8294522305019629,0.7355371900826446,0.9233672709212813
Characters,2.9687499999999976e-05,219,20158,0.7725645482877053,0.6712328767123288,0.8738962198630816
Client-side,8.593749999999972e-06,982,19395,0.7410470973002574,0.9338085539714868,0.5482856406290281
Clothing,8.593749999999972e-06,501,19876,0.797348149344298,0.9500998003992016,0.6445964982893942
Co-op,1.5624999999999702e-06,102,20275,0.8918386886197143,0.8235294117647058,0.9601479654747226
Code Mods,8.593749999999972e-06,53,20324,0.8192428878582065,0.9433962264150944,0.6950895493013186
Combat,8.593749999999972e-06,220,20157,0.825845408993943,0.9863636363636363,0.6653271816242496
Contraptions,0.0015976562500000001,17,20360,0.7579033283254363,0.5294117647058824,0.9863948919449902
Cosmetic,8.593749999999972e-06,482,19895,0.7443075628376778,0.9398340248962656,0.5487811007790903
Customizable,0.12671875000000002,263,20114,0.9333792629162065,0.9125475285171103,0.9542109973153028
Decor,8.593749999999972e-06,176,20201,0.8908772236747955,0.9943181818181818,0.7874362655314093
Dependency,8.593749999999972e-06,19,20358,0.9387722917668471,0.8947368421052632,0.9828077414284311
Development Tools,2.6171874999999977e-05,41,20336,0.7892899291896145,0.926829268292683,0.651750590086546
Dresses,8.593749999999972e-06,126,20251,0.9135982310887254,0.9841269841269841,0.8430694780504666
Enemies,7.539062499999996e-05,61,20316,0.7745054370455008,0.9016393442622951,0.6473715298287065
Equipment,8.593749999999972e-06,83,20294,0.6414623706217399,0.3493975903614458,0.9335271508820341
Events,8.593749999999972e-06,124,20253,0.7602527622351447,0.6048387096774194,0.9156668147928702
Everyone,8.593749999999972e-06,895,19482,0.8835201552614962,0.9351955307262569,0.8318447797967354
Exploration,0.6956171875000001,68,20309,0.8888434713094455,0.8676470588235294,0.9100398837953617
Fantasy,0.0023359374999999995,46,20331,0.8488552499609721,0.8478260869565217,0.8498844129654223
Farming,5.7812499999999975e-05,75,20302,0.7821206449282501,0.9466666666666667,0.6175746231898335
Feminine,8.593749999999972e-06,499,19878,0.9173079028567246,0.9939879759519038,0.8406278297615454
Food,1.5624999999999702e-06,112,20265,0.7742875647668394,0.875,0.6735751295336787
Fun,8.593749999999972e-06,1109,19268,0.8334792588167883,0.763751127141569,0.9032073904920075
Furniture,2.2656249999999975e-05,31,20346,0.73523923224982,0.9354838709677419,0.5349945935318982
Gameplay,8.593749999999972e-06,681,19696,0.6671630143824905,0.43612334801762115,0.8982026807473599
Hairstyles,8.593749999999972e-06,204,20173,0.9159795951295802,0.9950980392156863,0.8368611510434739
Head Accessories,8.593749999999972e-06,84,20293,0.910422723763531,0.9880952380952381,0.8327502094318238
HUDs,8.593749999999972e-06,83,20294,0.7897034080937924,0.963855421686747,0.6155513945008377
Items,8.593749999999972e-06,556,19821,0.6943713229809674,0.4550359712230216,0.9337066747389132
Improvements,8.2421875e-05,5,20372,0.9345179658354604,1.0,0.8690359316709209
Language,7.1875e-05,62,20315,0.8155808118901495,0.8548387096774194,0.7763229141028797
Level,8.593749999999972e-06,404,19973,0.750820228595733,0.8094059405940595,0.6922345165974065
Libraries,8.593749999999972e-06,165,20212,0.7993155880994789,0.9333333333333333,0.6652978428656244
Magic,0.16468750000000004,204,20173,0.8586672586052218,0.9656862745098039,0.7516482427006395
Makeup,8.593749999999972e-06,31,20346,0.8873488646416986,1.0,0.7746977292833972
Map,8.593749999999972e-06,805,19572,0.7689452101049414,0.6372670807453417,0.9006233394645412
Masculine,8.593749999999972e-06,140,20237,0.8837772397094431,1.0,0.7675544794188862
Medieval,9.999999999999999e-05,28,20349,0.7007838223008502,0.6428571428571429,0.7587105017445575
Memes,0.015414062499999999,40,20337,0.8392554211535626,0.875,0.803510842307125
Minigames,8.593749999999972e-06,71,20306,0.7999113562493845,0.8873239436619719,0.712498768836797
Miscellaneous,8.593749999999972e-06,1418,18959,0.6985088675131571,0.8801128349788434,0.5169049000474708
Model,8.593749999999972e-06,784,19593,0.8579984378531691,0.7818877551020408,0.9341091206042974
Modern,0.006624999999999999,29,20348,0.7890057821492242,0.8620689655172413,0.715942598781207
Modpacks,8.593749999999972e-06,1134,19243,0.8142398101474129,0.9761904761904762,0.6522891441043497
Monsters,2.2656249999999975e-05,137,20240,0.7997437682121116,0.927007299270073,0.6724802371541502
Multiplayer,0.10843749999999999,475,19902,0.8443269388424333,0.8210526315789474,0.867601246105919
NPC,1.2109374999999972e-05,256,20121,0.7995521625416232,0.703125,0.8959793250832464
Overrides,7.890624999999996e-05,24,20353,0.7586576098527653,0.9166666666666666,0.600648553038864
Pants,8.593749999999972e-06,50,20327,0.8932946327544645,1.0,0.786589265508929
Preset,8.593749999999972e-06,6,20371,0.7500818156529707,0.8333333333333334,0.6668302979726081
Prop,8.593749999999972e-06,25,20352,0.8421167452830189,0.76,0.9242334905660378
PvP,8.593749999999972e-06,101,20276,0.7813173258537138,0.9207920792079208,0.6418425724995068
Quality of Life,0.0015976562500000001,105,20272,0.7842771639042357,0.6761904761904762,0.8923638516179953
Quests,9.999999999999999e-05,58,20319,0.6769649096904375,0.5,0.8539298193808751
Realistic,8.593749999999972e-06,748,19629,0.8155216771103979,0.75,0.8810433542207957
Relaxing,0.15976562500000002,32,20345,0.9203896841975916,0.90625,0.9345293683951831
Roleplay,8.593749999999972e-06,751,19626,0.8243783586625151,0.7549933422103862,0.8937633751146439
Rooms,1.5624999999999499e-06,104,20273,0.8603203294264065,0.7788461538461539,0.9417945050066591
Scenario,1.562499999999996e-05,103,20274,0.9021152923396076,0.8252427184466019,0.9789878662326132
Scene,1.5624999999999702e-06,565,19812,0.8895417365715603,0.8973451327433628,0.8817383403997577
Server-side,8.593749999999972e-06,544,19833,0.7353754493402261,0.9172794117647058,0.5534714869157464
Shirts,8.593749999999972e-06,130,20247,0.8692586935956323,0.9769230769230769,0.7615943102681879
Shoes,8.593749999999972e-06,45,20332,0.8761355935908366,0.9777777777777777,0.7744934094038953
Singleplayer,0.09156250000000002,983,19394,0.9366150410332359,0.9420142421159715,0.9312158399505002
Skins,8.593749999999972e-06,353,20024,0.7688153818816853,0.9121813031161473,0.6254494606472233
Skirts,8.593749999999972e-06,26,20351,0.8613647788995438,0.9615384615384616,0.761191096260626
Storage,8.593749999999972e-06,108,20269,0.7802615013256881,0.9074074074074074,0.6531155952439687
Suits,8.593749999999972e-06,216,20161,0.8202459782087529,0.9583333333333334,0.6821586230841724
Tattoos,8.593749999999972e-06,46,20331,0.9211548866263342,1.0,0.8423097732526683
Technology,1.210937499999996e-05,232,20145,0.745963638620005,0.875,0.61692727724001
Textures,8.593749999999972e-06,173,20204,0.824837953452816,0.7283236994219653,0.9213522074836666
Tools,0.12250000000000003,300,20077,0.8153911606979795,0.8166666666666667,0.8141156547292923
Tooltip,8.593749999999972e-06,147,20230,0.8258409246051361,0.9727891156462585,0.6788927335640138
Traditional,8.593749999999972e-06,36,20341,0.7863899677170902,0.9166666666666666,0.6561132687675139
Traits,0.0011476562500000002,34,20343,0.8703420167654143,0.7941176470588235,0.9465663864720051
Translation,8.593749999999972e-06,31,20346,0.7549189346879628,0.5161290322580645,0.993708837117861
Tweaks,8.593749999999972e-06,493,19884,0.7339076787354486,0.8782961460446247,0.5895192114262724
UI,1.5624999999999973e-05,204,20173,0.7877386343423505,0.6911764705882353,0.8843007980964656
Utility,8.593749999999972e-06,287,20090,0.713588850174216,0.5156794425087108,0.9114982578397213
Vehicle,8.593749999999972e-06,279,20098,0.8709322527500551,0.7992831541218638,0.9425813513782466
Video,8.593749999999972e-06,377,20000,0.8775909814323608,0.9283819628647215,0.8268
Weapons,8.593749999999972e-06,1043,19334,0.802351700901774,0.6970278044103547,0.9076755973931934
World,1.5624999999999702e-06,105,20272,0.8311053012365166,0.7619047619047619,0.9003058405682715
World Gen,8.593749999999972e-06,130,20247,0.7335172162257657,0.9076923076923077,0.5593421247592236
