Tag,C,Positive Count,Negative Count,Accuracy,Positive Accuracy,Negative Accuracy
Abstract,12250.0,34,20343,0.8580281987444734,0.7941176470588235,0.9219387504301234
Achievements,1225.0,89,20288,0.9216620551696026,0.9101123595505618,0.9332117507886435
Addon,145.703125,2031,18346,0.9330059349890284,0.9231905465288035,0.9428213234492533
Advanced,15955.46875,23,20354,0.8423950425298308,0.782608695652174,0.9021813894074875
Animal,16574.21875,10,20367,0.8753940197378112,0.9,0.8507880394756223
Anime,3671.875,461,19916,0.9493610147434846,0.9349240780911063,0.9637979513958627
Arena,8207.03125,52,20325,0.8877296811429652,0.8269230769230769,0.9485362853628536
Assets,15976.5625,22,20355,0.922926017730734,0.8636363636363636,0.9822156718251044
Audio,100.0,887,19490,0.8663030155087771,0.8128523111612176,0.9197537198563366
Automation,1210.9375,31,20346,0.90368400858693,0.8709677419354839,0.9364002752383761
Biomes,16187.5,62,20315,0.8681039752923709,0.8064516129032258,0.9297563376815161
Body,100.0,318,20059,0.9862058656523005,0.9842767295597484,0.9881350017448527
Building,6625.0,385,19992,0.8598352977554657,0.8337662337662337,0.8859043617446979
Campaigns,3390.625,202,20175,0.8781497294710884,0.8663366336633663,0.8899628252788104
Cards,10632.8125,73,20304,0.9034089375735397,0.863013698630137,0.9438041765169425
Cartoon,100.0,242,20135,0.8947239398522782,0.8884297520661157,0.9010181276384406
Characters,5289.0625,219,20158,0.8813778682653612,0.863013698630137,0.8997420379005854
Client-side,212.5,982,19395,0.8222708941404155,0.7759674134419552,0.868574374838876
Clothing,7398.4375,501,19876,0.9799827292486871,0.9800399201596807,0.9799255383376937
Co-op,15238.28125,102,20275,0.9055414520925509,0.8823529411764706,0.9287299630086313
Code Mods,12285.15625,53,20324,0.8975651056655762,0.8490566037735849,0.9460736075575674
Combat,100.0,220,20157,0.9173468950556315,0.9045454545454545,0.9301483355658084
Contraptions,18272.96875,17,20360,0.8504434878076967,0.8235294117647058,0.8773575638506876
Cosmetic,5050.0,482,19895,0.8226263610094073,0.7842323651452282,0.8610203568735864
Customizable,1000.0,263,20114,0.9398543322075577,0.9163498098859315,0.9633588545291837
Decor,293.359375,176,20201,0.9741926029764503,0.9659090909090909,0.9824761150438097
Dependency,11476.5625,19,20358,0.949271203354688,0.9473684210526315,0.9511739856567443
Development Tools,1597.65625,41,20336,0.8878343823760818,0.8536585365853658,0.9220102281667978
Dresses,1766.40625,126,20251,0.9770162241645131,0.9682539682539683,0.985778480075058
Enemies,3531.25,61,20316,0.8334406540593056,0.7868852459016393,0.8799960622169718
Equipment,9226.5625,83,20294,0.8181698905605669,0.7590361445783133,0.8773036365428205
Events,6835.9375,124,20253,0.9011514423191785,0.8790322580645161,0.923270626573841
Everyone,2617.1875,895,19482,0.9635499664781528,0.9530726256983241,0.9740273072579817
Exploration,62.03125,68,20309,0.8948836070939282,0.8529411764705882,0.9368260377172682
Fantasy,3812.5,46,20331,0.8555707390513095,0.782608695652174,0.9285327824504451
Farming,824.21875,75,20302,0.8579673595376481,0.7866666666666666,0.9292680524086296
Feminine,33.90625,499,19878,0.9812014107700258,0.9799599198396793,0.9824429017003723
Food,4937.5,112,20265,0.8920783987169998,0.8660714285714286,0.918085368862571
Fun,14640.625,1109,19268,0.9189673895036234,0.9116321009918846,0.9263026780153623
Furniture,12601.5625,31,20346,0.8316804761497069,0.7741935483870968,0.889167403912317
Gameplay,191.40625,681,19696,0.8487774077878019,0.8105726872246696,0.8869821283509342
Hairstyles,8.59375,204,20173,0.9904907112302117,0.9852941176470589,0.9956873048133644
Head Accessories,621.015625,84,20293,0.9727553836298231,0.9642857142857143,0.9812250529739319
