Tag,C,Positive Count,Negative Count,Accuracy,Positive Accuracy,Negative Accuracy
Abstract,2687.5,34,20343,0.8819510107538076,0.8235294117647058,0.9403726097429091
Achievements,1000.0,89,20288,0.9075190847304434,0.8764044943820225,0.9386336750788643
Addon,43.75,2031,18346,0.9239944492761627,0.8985721319547021,0.9494167665976234
Advanced,15976.5625,23,20354,0.8926287323077187,0.8695652173913043,0.9156922472241329
Animal,128.125,10,20367,0.8995752933667207,0.9,0.8991505867334414
Anime,1000.0,461,19916,0.9480956132894818,0.93058568329718,0.9656055432817835
Arena,1667.96875,52,20325,0.900026492572618,0.8461538461538461,0.9538991389913899
Assets,15765.625,22,20355,0.9203713628547822,0.8636363636363636,0.9771063620732007
Audio,85.9375,887,19490,0.8725550003094699,0.8252536640360767,0.919856336582863
Automation,423.4375,31,20346,0.9034382600368465,0.8709677419354839,0.9359087781382089
Biomes,8382.8125,62,20315,0.8812303001913413,0.8387096774193549,0.9237509229633276
Body,16574.21875,318,20059,0.9797440318356446,0.9748427672955975,0.9846452963756918
Building,1000.0,385,19992,0.8574898141074612,0.825974025974026,0.8890056022408963
Campaigns,14500.0,202,20175,0.8974432870796374,0.8465346534653465,0.9483519206939282
Cards,1000.0,73,20304,0.9258250618003605,0.8904109589041096,0.9612391646966115
Cartoon,550.0,242,20135,0.9046619204666024,0.8925619834710744,0.9167618574621306
Characters,100.0,219,20158,0.8681189153631517,0.8082191780821918,0.9280186526441115
Client-side,15.625,982,19395,0.852015027914159,0.8258655804480651,0.8781644753802527
Clothing,3671.875,501,19876,0.9783892167365812,0.9760479041916168,0.9807305292815456
Co-op,36.71875,102,20275,0.9110519571577089,0.8627450980392157,0.9593588162762022
Code Mods,247.65625,53,20324,0.8910095138009528,0.8301886792452831,0.9518303483566227
Combat,178.75,220,20157,0.8950661173424977,0.8590909090909091,0.9310413255940864
Contraptions,36.71875,17,20360,0.9005662775915867,0.8235294117647058,0.9776031434184675
Cosmetic,5005.0,482,19895,0.8182603377274258,0.7863070539419087,0.850213621512943
Customizable,11476.5625,263,20114,0.9415198388198673,0.9163498098859315,0.9666898677538033
Decor,15906.25,176,20201,0.9718907367322049,0.9659090909090909,0.977872382555319
Dependency,121.09375,19,20358,0.9166563254585033,0.8421052631578947,0.9912073877591119
Development Tools,1000.0,41,20336,0.8757376081825334,0.8292682926829268,0.9222069236821401
Dresses,15976.5625,126,20251,0.9856934362637784,0.9841269841269841,0.9872598884005728
Enemies,1000.0,61,20316,0.8468303267391606,0.8032786885245902,0.890381964953731
Equipment,100.0,83,20294,0.845801655424299,0.7951807228915663,0.8964225879570317
Events,15976.5625,124,20253,0.8976378250613609,0.8467741935483871,0.9485014565743347
Everyone,11476.5625,895,19482,0.9623401116859625,0.9441340782122905,0.9805461451596346
Exploration,15976.5625,68,20309,0.8989950847639268,0.8529411764705882,0.9450489930572652
