Tag,C,Positive Count,Negative Count,Accuracy,Positive Accuracy,Negative Accuracy
Abstract,2898.4375,34,20343,0.8853674193464438,0.8235294117647058,0.9472054269281817
Achievements,100.0,89,20288,0.9001759494736469,0.8651685393258427,0.935183359621451
Addon,381.25,2031,18346,0.923815359904689,0.9049729197439685,0.9426578000654093
Advanced,100.0,23,20354,0.8076865566430698,0.6956521739130435,0.9197209393730962
Animal,15976.5625,10,20367,0.8853120243531203,0.9,0.8706240487062404
Anime,8628.90625,461,19916,0.9470211439020022,0.9327548806941431,0.9612874071098614
Arena,8664.0625,52,20325,0.8961396537042293,0.8461538461538461,0.9461254612546125
Assets,15062.5,22,20355,0.9149427212433845,0.8636363636363636,0.9662490788504053
Audio,138.671875,887,19490,0.8707321651377314,0.8275084554678692,0.9139558748075937
Automation,64.84375,31,20346,0.8720648903010182,0.8064516129032258,0.9376781676988106
Biomes,10175.78125,62,20315,0.8813779743237558,0.8387096774193549,0.9240462712281565
Body,15976.5625,318,20059,0.9865069428832742,0.9874213836477987,0.9855925021187497
Building,550.0,385,19992,0.8513732765833606,0.8103896103896104,0.8923569427771109
Campaigns,15976.5625,202,20175,0.8831991117327346,0.8366336633663366,0.9297645600991326
Cards,16574.21875,73,20304,0.9215648175135205,0.8904109589041096,0.9527186761229315
Cartoon,4726.5625,242,20135,0.9076867507957649,0.9090909090909091,0.9062825925006208
Characters,15273.4375,219,20158,0.860506337830681,0.817351598173516,0.903661077487846
Client-side,10.0,982,19395,0.8368303345236163,0.7973523421588594,0.8763083268883733
Clothing,325.0,501,19876,0.9739526280503995,0.9660678642714571,0.9818373918293419
Co-op,43.75,102,20275,0.9169841154710959,0.8823529411764706,0.9516152897657213
Code Mods,100.0,53,20324,0.9093608077447242,0.8679245283018868,0.9507970871875615
Combat,145.0,220,20157,0.9126029982816708,0.8954545454545455,0.929751451108796
Contraptions,11638.984375,17,20360,0.8440425286027967,0.7647058823529411,0.9233791748526523
Cosmetic,97.1875,482,19895,0.8216618053911667,0.7738589211618258,0.8694646896205077
Customizable,5605.46875,263,20114,0.9459187195722027,0.9239543726235742,0.9678830665208312
Decor,11476.5625,176,20201,0.9730292942293586,0.9659090909090909,0.9801494975496262
Dependency,71.875,19,20358,0.9617478710037694,0.9473684210526315,0.9761273209549072
Development Tools,15976.5625,41,20336,0.8937106608969316,0.8780487804878049,0.9093725413060583
Dresses,15976.5625,126,20251,0.9820708442381446,0.9761904761904762,0.9879512122858131
Enemies,10000.0,61,20316,0.8412189859240395,0.8032786885245902,0.8791592833234889
Equipment,100.0,83,20294,0.8320288149740976,0.7710843373493976,0.8929732925987977
Events,10000.0,124,20253,0.9258389438123862,0.9032258064516129,0.9484520811731595
Everyone,1000.0,895,19482,0.9639212015789966,0.9508379888268157,0.9770044143311775
Exploration,100.0,68,20309,0.8895740949390737,0.8382352941176471,0.9409128957605003
Fantasy,16574.21875,46,20331,0.8631940301060921,0.8043478260869565,0.9220402341252275
Farming,5078.125,75,20302,0.868271434669819,0.8133333333333334,0.9232095360063048
Feminine,2125.0,499,19878,0.9803503273777658,0.9779559118236473,0.9827447429318845
Food,15976.5625,112,20265,0.8900320750061683,0.8571428571428571,0.9229212928694794
