Tag,Alpha,Positive Count,Negative Count,Accuracy,Positive Accuracy,Negative Accuracy
Abstract,0.07750000000000001,34,20343,0.8848838016256495,0.8529411764705882,0.9168264267807108
Achievements,0.011406250000000005,89,20288,0.8983029210824798,0.8651685393258427,0.9314373028391167
Addon,0.025468750000000002,2031,18346,0.9103513710387715,0.9345150172328902,0.8861877248446528
Advanced,0.07011718750000002,23,20354,0.8500337504432416,0.8260869565217391,0.873980544364744
Animal,0.0325,10,20367,0.8336843914174891,0.9,0.7673687828349781
Anime,0.0126015625,461,19916,0.9493257799896224,0.93058568329718,0.9680658766820647
Arena,0.05500000000000001,52,20325,0.8839133314410067,0.8461538461538461,0.9216728167281673
Assets,0.08101562500000001,22,20355,0.9140829816216699,0.8636363636363636,0.9645295996069762
Audio,0.0152734375,887,19490,0.8592800169832417,0.8027057497181511,0.9158542842483325
Automation,0.011125,31,20346,0.8793961244660915,0.8387096774193549,0.9200825715128281
Biomes,0.057109375000000004,62,20315,0.9089188030455805,0.8870967741935484,0.9307408318976126
Body,0.04656249999999999,318,20059,0.9868847591429184,0.9937106918238994,0.9800588264619373
Building,0.14500000000000002,385,19992,0.8726149550729383,0.8701298701298701,0.8751000400160064
Campaigns,0.027578125,202,20175,0.849219085477321,0.9603960396039604,0.7380421313506815
Cards,0.0030742187499999993,73,20304,0.9046324632706153,0.9315068493150684,0.8777580772261623
Cartoon,0.16679687500000004,242,20135,0.8860876069998584,0.9132231404958677,0.8589520735038491
Characters,0.044453124999999996,219,20158,0.8401727947389142,0.9406392694063926,0.7397063200714357
Client-side,0.014359375000000002,982,19395,0.8235917827940831,0.7505091649694501,0.8966744006187162
Clothing,0.0055,501,19876,0.9662626849340161,0.9580838323353293,0.9744415375327028
Co-op,1.277734375,102,20275,0.8842590846449554,0.8823529411764706,0.8861652281134402
Code Mods,0.016328125000000006,53,20324,0.9033826538380129,0.8679245283018868,0.9388407793741389
Combat,0.03671875000000001,220,20157,0.9276378158726722,0.9181818181818182,0.9370938135635263
Contraptions,0.161875,17,20360,0.9036764705882353,0.8823529411764706,0.925
Cosmetic,0.018789062500000002,482,19895,0.8130883194864325,0.7427385892116183,0.8834380497612465
Customizable,0.02828125,263,20114,0.9362369285944641,0.9201520912547528,0.9523217659341752
Decor,0.05500000000000001,176,20201,0.9748801533227428,0.9715909090909091,0.9781693975545765
Dependency,0.14535156250000003,19,20358,0.8971062714256907,0.8421052631578947,0.9521072796934866
Development Tools,0.04375000000000001,41,20336,0.892087922895358,0.8780487804878049,0.9061270653029111
Dresses,0.04375000000000001,126,20251,0.9782863946362045,0.9841269841269841,0.9724458051454249
Enemies,0.008875000000000001,61,20316,0.8214796381112843,0.7868852459016393,0.8560740303209293
Equipment,0.033203125,83,20294,0.8358729091986354,0.8192771084337349,0.8524687099635361
Events,0.05500000000000001,124,20253,0.8896135259929632,0.9435483870967742,0.8356786648891522
Everyone,0.023359374999999995,895,19482,0.9605811753465023,0.9418994413407821,0.9792629093522226
Exploration,0.0325,68,20309,0.8830578590193279,0.8676470588235294,0.8984686592151263
Fantasy,0.019140625,46,20331,0.8859901243121984,0.8695652173913043,0.9024150312330923
Farming,0.039531250000000004,75,20302,0.8963665320329688,0.8666666666666667,0.926066397399271
Feminine,0.06062500000000001,499,19878,0.9867565395404956,0.9939879759519038,0.9795251031290875
Food,0.04375,112,20265,0.8770817912657292,0.8392857142857143,0.9148778682457439
Fun,0.030390625,1109,19268,0.9127575578153193,0.9711451758340848,0.8543699397965538
Furniture,0.0293359375,31,20346,0.8531747541721761,0.8387096774193549,0.8676398309249975
Gameplay,0.06625000000000002,681,19696,0.8578122036451865,0.8502202643171806,0.8654041429731926
Hairstyles,0.010000000000000002,204,20173,0.9893201989069063,0.9950980392156863,0.9835423585981262
Head Accessories,0.029687500000000006,84,20293,0.9717841948783652,0.9761904761904762,0.9673779135662544
HUDs,0.07750000000000001,83,20294,0.8720534053034845,0.8072289156626506,0.9368778949443185
Items,0.015765625,556,19821,0.8204438265642973,0.789568345323741,0.8513193078048534
Improvements,1.3356015625000002,5,20372,0.8553897506381307,1.0,0.7107795012762615
Language,0.0126015625,62,20315,0.8618528339936325,0.7580645161290323,0.9656411518582328
Level,0.01720703125,404,19973,0.8672271303884006,0.7698019801980198,0.9646522805787814
Libraries,0.024765625,165,20212,0.8358183557322683,0.7575757575757576,0.914060953888779
Magic,0.038828125000000005,204,20173,0.9059749587635579,0.9362745098039216,0.8756754077231944
Makeup,0.15976562500000002,31,20346,0.9866312788754547,1.0,0.9732625577509093
Map,0.08875000000000002,805,19572,0.9007042003216663,0.9490683229813665,0.8523400776619661
Masculine,0.065546875,140,20237,0.9725478084696348,0.9857142857142858,0.9593813312249839
Medieval,0.01253125,28,20349,0.8100029485478402,0.7857142857142857,0.8342916113813946
Memes,0.04431250000000003,40,20337,0.8240688154595073,0.775,0.8731376309190146
Minigames,0.06414062499999999,71,20306,0.8902787353491579,0.8450704225352113,0.9354870481631045
Miscellaneous,0.00775,1418,18959,0.7818472472444621,0.7468265162200282,0.816867978268896
Model,0.13937500000000003,784,19593,0.9149299859279189,0.9362244897959183,0.8936354820599194
Modern,0.137265625,29,20348,0.8759185008439362,0.8620689655172413,0.889768036170631
