Tag,Alpha,Positive Count,Negative Count,Accuracy,Positive Accuracy,Negative Accuracy
Abstract,0.017734374999999997,34,20343,0.8962549626840856,0.9117647058823529,0.8807452194858182
Achievements,0.07539062500000002,89,20288,0.9251101553361925,0.9325842696629213,0.9176360410094637
Addon,0.20546875000000003,2031,18346,0.9043986153141514,0.913343180699163,0.8954540499291399
Advanced,0.27437500000000004,23,20354,0.8793880916474062,0.8695652173913043,0.8892109659035079
Animal,0.15097656250000008,10,20367,0.852440221927628,0.9,0.804880443855256
Anime,0.045156249999999995,461,19916,0.9502848514738038,0.9327548806941431,0.9678148222534646
Arena,0.15976562500000002,52,20325,0.9029193868861766,0.9038461538461539,0.9019926199261993
Assets,0.40234374999999994,22,20355,0.9121178624863223,0.8636363636363636,0.960599361336281
Audio,0.04375,887,19490,0.8523131857866,0.7846674182638106,0.9199589533093895
Automation,0.010000000000000002,31,20346,0.8621366488776425,0.8064516129032258,0.9178216848520594
Biomes,0.356640625,62,20315,0.9063591180837296,0.8870967741935484,0.9256214619739109
Body,1.11953125,318,20059,0.9800719951614436,0.9811320754716981,0.979011914851189
Building,0.3109375000000001,385,19992,0.8643011750154608,0.8493506493506493,0.8792517006802721
Campaigns,0.1003515625,202,20175,0.8752970910473947,0.9504950495049505,0.8000991325898389
Cards,0.09437499999999999,73,20304,0.900559104353552,0.8904109589041096,0.9107072498029944
Cartoon,0.33906250000000016,242,20135,0.8856752047645335,0.9008264462809917,0.8705239632480755
Characters,0.578125,219,20158,0.8568782644505666,0.8904109589041096,0.8233455699970235
Client-side,0.0240625,982,19395,0.8371393775769995,0.7729124236252546,0.9013663315287446
Clothing,0.0055,501,19876,0.9644514553103494,0.9580838323353293,0.9708190782853693
Co-op,1.421875,102,20275,0.9118188631802906,0.9019607843137255,0.9216769420468557
Code Mods,0.11335937500000001,53,20324,0.8887085813593372,0.8490566037735849,0.9283605589450895
Combat,0.17382812500000006,220,20157,0.917570142562701,0.9045454545454545,0.9305948305799474
Contraptions,0.5005000000000001,17,20360,0.8897116606957125,0.8235294117647058,0.955893909626719
Cosmetic,0.07960937500000001,482,19895,0.8171874331943951,0.7510373443983402,0.8833375219904499
Customizable,0.8875,263,20114,0.9418160591094639,0.9315589353612167,0.952073182857711
Decor,0.7714843749999999,176,20201,0.9711922170819627,0.9715909090909091,0.9707935250730162
Dependency,1.3375,19,20358,0.9139792451952161,0.8421052631578947,0.9858532272325375
Development Tools,0.16750000000000004,41,20336,0.9004720692368214,0.9024390243902439,0.898505114083399
Dresses,1.59765625,126,20251,0.983760747068732,0.9920634920634921,0.9754580020739717
Enemies,0.021249999999999998,61,20316,0.8394728050894231,0.819672131147541,0.8592734790313054
Equipment,0.038125000000000006,83,20294,0.8389897423536662,0.8313253012048193,0.8466541835025131
Events,0.7749999999999999,124,20253,0.9084669654674815,0.9112903225806451,0.9056436083543179
Everyone,0.09156250000000002,895,19482,0.9566389315678303,0.9351955307262569,0.9780823324094036
Exploration,0.32499999999999996,68,20309,0.8861106927383686,0.8676470588235294,0.9045743266532079
