Tag,C,Positive Count,Negative Count,Accuracy,Positive Accuracy,Negative Accuracy
Abstract,1.4921875,34,20343,0.8724557659666137,0.7941176470588235,0.950793884874404
Achievements,1.5625,89,20288,0.9198383169992557,0.9101123595505618,0.9295642744479495
Addon,6.484375,2031,18346,0.8643688263078932,0.827178729689808,0.9015589229259784
Advanced,1.5625,23,20354,0.8637165646320988,0.8260869565217391,0.9013461727424585
Animal,1.2109375,10,20367,0.8917930966759955,0.9,0.883586193351991
Anime,5.78125,461,19916,0.9329162961662409,0.9023861171366594,0.9634464751958225
Arena,6.484375,52,20325,0.8869916737628915,0.8269230769230769,0.947060270602706
Assets,2.265625,22,20355,0.9239085772984078,0.8636363636363636,0.984180790960452
Audio,1.9140625,887,19490,0.81161877018423,0.7125140924464487,0.9107234479220113
Automation,0.96484375,31,20346,0.9047407273522893,0.8709677419354839,0.9385137127690947
Biomes,1.7734375,62,20315,0.8835684739545704,0.8387096774193549,0.9284272704897859
Body,1.2109375,318,20059,0.9826663073492945,0.9842767295597484,0.9810558851388405
Building,2.96875,385,19992,0.8091300156426207,0.7766233766233767,0.8416366546618648
Campaigns,2.6171875,202,20175,0.8706900020857105,0.8663366336633663,0.8750433705080545
Cards,1.5625,73,20304,0.913164084005311,0.8767123287671232,0.9496158392434988
Cartoon,6.484375,242,20135,0.8686694358534438,0.8636363636363636,0.873702508070524
Characters,2.6171875,219,20158,0.8413068720577754,0.8127853881278538,0.8698283559876971
Client-side,6.484375,982,19395,0.7487454248659422,0.670061099796334,0.8274297499355504
Clothing,2.265625,501,19876,0.9615910059534785,0.9441117764471058,0.9790702354598511
Co-op,2.265625,102,20275,0.907588307826213,0.8823529411764706,0.9328236744759556
Code Mods,1.2109375,53,20324,0.9256947822631855,0.9056603773584906,0.9457291871678803
Combat,1.0,220,20157,0.9025198780482305,0.8772727272727273,0.9277670288237337
Contraptions,0.9296875,17,20360,0.8531044146538773,0.7647058823529411,0.9415029469548134
Cosmetic,2.265625,482,19895,0.7969596606249199,0.7219917012448133,0.8719276200050264
Customizable,15.625,263,20114,0.9221971832796406,0.8821292775665399,0.9622650889927413
Decor,1.2109375,176,20201,0.9591465150240087,0.9375,0.9807930300480174
Dependency,1.2109375,19,20358,0.9478958226689624,0.9473684210526315,0.9484232242852932
Development Tools,1.2109375,41,20336,0.8848593627065302,0.8536585365853658,0.9160601888276947
Dresses,1.2109375,126,20251,0.9763742805567901,0.9682539682539683,0.9844945928596118
Enemies,2.96875,61,20316,0.8356802681565688,0.7868852459016393,0.8844752904114983
Equipment,1.5625,83,20294,0.8301195320357017,0.7831325301204819,0.8771065339509214
Events,2.265625,124,20253,0.8947410021295132,0.8629032258064516,0.926578778452575
Everyone,2.265625,895,19482,0.9330093270453346,0.8905027932960894,0.9755158607945796
Exploration,2.265625,68,20309,0.8992083341781245,0.8676470588235294,0.9307696095327195
Fantasy,2.265625,46,20331,0.8653582128811645,0.8043478260869565,0.9263685996753726
Farming,1.5625,75,20302,0.8610629494631071,0.8,0.9221258989262142
Feminine,1.0,499,19878,0.9772564547547655,0.9779559118236473,0.9765569976858839
Food,1.5625,112,20265,0.8783647915124599,0.8392857142857143,0.9174438687392056
Fun,2.96875,1109,19268,0.8787681908060441,0.9017132551848512,0.8558231264272369
Furniture,2.265625,31,20346,0.8382173875819294,0.7741935483870968,0.902241226776762
Gameplay,3.671875,681,19696,0.7767008231432011,0.7019089574155654,0.8514926888708367
Hairstyles,2.265625,204,20173,0.9901161327069865,0.9901960784313726,0.9900361869826005
Head Accessories,1.5625,84,20293,0.9731988863154782,0.9642857142857143,0.9821120583452422
HUDs,1.2109375,83,20294,0.8708954275760774,0.8072289156626506,0.9345619394895043
Items,1.5625,556,19821,0.7491405089943484,0.6798561151079137,0.818424902880783
Improvements,0.6484375,5,20372,0.9151776948753191,1.0,0.8303553897506382
Language,2.265625,62,20315,0.8709510690495661,0.7741935483870968,0.9677085897120354
Level,1.0,404,19973,0.8129989099145232,0.7178217821782178,0.9081760376508287
Libraries,2.265625,165,20212,0.8501658180858656,0.793939393939394,0.9063922422323373
Magic,1.2109375,204,20173,0.8755525731831423,0.8676470588235294,0.8834580875427551
Makeup,1.0,31,20346,0.992602968642485,1.0,0.98520593728497
Map,7.890625,805,19572,0.8530067354428242,0.7900621118012422,0.9159513590844063
Masculine,1.2109375,140,20237,0.9796029549834462,0.9928571428571429,0.9663487671097495
Medieval,2.265625,28,20349,0.8272580962209446,0.75,0.9045161924418891
Memes,1.5625,40,20337,0.8134514677681074,0.725,0.9019029355362148
Minigames,1.5625,71,20306,0.8972963656062247,0.8450704225352113,0.9495223086772383
Miscellaneous,1.5625,1418,18959,0.6789310442078598,0.580394922425952,0.7774671659897674
Model,4.375,784,19593,0.8833012974750457,0.8507653061224489,0.9158372888276425
Modern,1.2109375,29,20348,0.8601599411617171,0.7931034482758621,0.9272164340475723
Modpacks,6.484375,1134,19243,0.9090626509687987,0.8518518518518519,0.9662734500857455
Monsters,1.5625,137,20240,0.8811939211217219,0.8686131386861314,0.8937747035573123
Multiplayer,2.96875,475,19902,0.7646010186757215,0.6421052631578947,0.8870967741935484
NPC,2.265625,256,20121,0.8905492861935291,0.859375,0.9217235723870583
Overrides,1.2109375,24,20353,0.9391961054062463,0.9166666666666666,0.9617255441458261
Pants,1.2109375,50,20327,0.9800378806513503,0.98,0.9800757613027008
Preset,1.5625,6,20371,0.7186809680428059,0.5,0.9373619360856119
Prop,6.8359375,25,20352,0.8992688679245283,0.92,0.8785377358490566
PvP,2.265625,101,20276,0.8567813676218677,0.7920792079207921,0.9214835273229434
Quality of Life,2.265625,105,20272,0.8380672849250197,0.8,0.8761345698500395
Quests,1.9140625,58,20319,0.889480459091287,0.8793103448275862,0.899650573354988
Realistic,2.265625,748,19629,0.8536245413925647,0.8596256684491979,0.8476234143359316
Relaxing,2.265625,32,20345,0.9111298844925043,0.875,0.9472597689850086
Roleplay,2.96875,751,19626,0.8559619817348736,0.8521970705725699,0.8597268928971772
Rooms,4.375,104,20273,0.9312288701531783,0.9134615384615384,0.9489962018448183
Scenario,1.9140625,103,20274,0.9475022291691209,0.9223300970873787,0.9726743612508632
Scene,1.2109375,565,19812,0.9228668957224458,0.8831858407079646,0.9625479507369271
Server-side,1.5625,544,19833,0.7626195738089518,0.6709558823529411,0.8542832652649625
Shirts,1.9140625,130,20247,0.9781884115785434,0.9769230769230769,0.9794537462340099
Shoes,1.5625,45,20332,0.9679164753972938,0.9555555555555556,0.980277395239032
Singleplayer,6.484375,983,19394,0.8961822992522884,0.8830111902339777,0.9093534082705992
Skins,2.1953125,353,20024,0.8672906959240978,0.7705382436260623,0.9640431482221334
Skirts,0.859375,26,20351,0.9908358311630878,1.0,0.9816716623261756
Storage,1.2109375,108,20269,0.8857660759086582,0.8518518518518519,0.9196802999654645
Suits,1.5625,216,20161,0.8899158073802189,0.8518518518518519,0.9279797629085859
Tattoos,0.6484375,46,20331,0.9774984869967259,0.9565217391304348,0.998475234863017
Technology,2.6171875,232,20145,0.8467172268296232,0.7887931034482759,0.9046413502109705
Textures,2.96875,173,20204,0.8548710665661123,0.8208092485549133,0.8889328845773115
Tools,1.2109375,300,20077,0.7731343494213943,0.6766666666666666,0.869602032176122
Tooltip,1.0703125,147,20230,0.906116564272768,0.8843537414965986,0.9278793870489372
Traditional,1.2109375,36,20341,0.9409300591580223,0.9166666666666666,0.9651934516493781
Traits,2.265625,34,20343,0.8976812373673846,0.8235294117647058,0.9718330629700634
Translation,3.671875,31,20346,0.8507672111186158,0.7419354838709677,0.9595989383662636
Tweaks,2.6171875,493,19884,0.8123635850611028,0.7748478701825557,0.84987929993965
UI,6.484375,204,20173,0.8206284025532089,0.7794117647058824,0.8618450404005353
Utility,1.5625,287,20090,0.7699352911896467,0.7247386759581882,0.815131906421105
Vehicle,3.671875,279,20098,0.8753730377066353,0.8494623655913979,0.9012837098218728
Video,2.265625,377,20000,0.9201170424403183,0.8779840848806366,0.96225
Weapons,2.6171875,1043,19334,0.8599115651878702,0.8197507190795782,0.9000724112961622
World,3.671875,105,20272,0.8977933438568797,0.8761904761904762,0.9193962115232833
World Gen,2.265625,130,20247,0.8725881517109848,0.8307692307692308,0.9144070726527387
