Tag,C,Positive Count,Negative Count,Accuracy,Positive Accuracy,Negative Accuracy
Abstract,1.2109375,34,20343,0.6449942312863798,0.29411764705882354,0.995870815513936
Achievements,1.2109375,89,20288,0.6387735706943607,0.2808988764044944,0.9966482649842271
Addon,1.5625,2031,18346,0.643865326188223,0.32397833579517477,0.9637523165812711
Advanced,1.5625,23,20354,0.5419797839117191,0.08695652173913043,0.9970030460843078
Animal,1.2109375,10,20367,0.6308022781951196,0.3,0.9616045563902391
Anime,1.2109375,461,19916,0.6933800922660422,0.3947939262472885,0.9919662582847961
Arena,1.2109375,52,20325,0.6142776043145047,0.23076923076923078,0.9977859778597786
Assets,1.2109375,22,20355,0.6134152877336371,0.22727272727272727,0.9995578481945468
Audio,1.5625,887,19490,0.5809103966246385,0.1713641488162345,0.9904566444330426
Automation,1.2109375,31,20346,0.6277052158940649,0.25806451612903225,0.9973459156590976
Biomes,1.2109375,62,20315,0.6515767786396514,0.3064516129032258,0.9967019443760768
Body,1.5625,318,20059,0.8852470118809889,0.7735849056603774,0.9969091181016003
Building,2.265625,385,19992,0.6437047546291244,0.36103896103896105,0.9263705482192878
Campaigns,1.5625,202,20175,0.7233271988908928,0.5099009900990099,0.9367534076827757
Cards,2.265625,73,20304,0.6391074840506493,0.2876712328767123,0.9905437352245863
Cartoon,1.5625,242,20135,0.7054648683370719,0.45041322314049587,0.9605165135336479
Characters,2.265625,219,20158,0.7052213313906893,0.4703196347031963,0.9401230280781824
Client-side,1.2109375,982,19395,0.5591858138422515,0.1354378818737271,0.982933745810776
Clothing,1.5625,501,19876,0.7761621554636752,0.5548902195608783,0.9974340913664721
Co-op,2.265625,102,20275,0.7527206789004135,0.5294117647058824,0.9760295930949445
Code Mods,1.2109375,53,20324,0.6219034657417757,0.24528301886792453,0.9985239126156269
Combat,1.2109375,220,20157,0.6291392117333477,0.2636363636363636,0.9946420598303319
Contraptions,1.2109375,17,20360,0.6172295735583034,0.23529411764705882,0.9991650294695481
Cosmetic,1.2109375,482,19895,0.5711339303125642,0.15352697095435686,0.9887408896707716
Customizable,1.5625,263,20114,0.7373302971541302,0.4866920152091255,0.9879685790991349
Decor,1.5625,176,20201,0.7716382177299954,0.5454545454545454,0.9978218900054453
Dependency,1.5625,19,20358,0.863459858015212,0.7368421052631579,0.990077610767266
Development Tools,1.2109375,41,20336,0.5961841070023604,0.1951219512195122,0.9972462627852084
Dresses,1.5625,126,20251,0.8550688854871364,0.7142857142857143,0.9958520566885586
Enemies,1.2109375,61,20316,0.5862507625420004,0.18032786885245902,0.9921736562315416
Equipment,2.265625,83,20294,0.6422626546394508,0.3132530120481928,0.9712722972307086
Events,1.5625,124,20253,0.7423629394609799,0.5403225806451613,0.9444032982767985
Everyone,1.5625,895,19482,0.673847482190981,0.35195530726256985,0.9957396571193923
Exploration,1.5625,68,20309,0.6524175749377992,0.3088235294117647,0.9960116204638337
Fantasy,1.5625,46,20331,0.6662154388351051,0.34782608695652173,0.9846047907136884
Farming,1.2109375,75,20302,0.6585223130726037,0.32,0.9970446261452074
Feminine,1.2109375,499,19878,0.8302213139429074,0.6673346693386774,0.9931079585471375
Food,1.2109375,112,20265,0.6742289661978781,0.35714285714285715,0.9913150752528991
Fun,2.265625,1109,19268,0.6711485968035136,0.42019837691614065,0.9220988166908864
Furniture,1.5625,31,20346,0.5605841522309212,0.12903225806451613,0.9921360463973262
Gameplay,1.5625,681,19696,0.6349695995877425,0.32599118942731276,0.9439480097481722
Hairstyles,1.5625,204,20173,0.9185971493638847,0.8382352941176471,0.9989590046101224
Head Accessories,1.2109375,84,20293,0.8912802444192578,0.7857142857142857,0.99684620312423
HUDs,1.2109375,83,20294,0.6176732157762814,0.24096385542168675,0.9943825761308761
Items,1.2109375,556,19821,0.5764699274332614,0.19784172661870503,0.9550981282478179
Improvements,1.2109375,5,20372,0.9754074219516984,1.0,0.9508148439033968
Language,1.5625,62,20315,0.7654891110176019,0.532258064516129,0.9987201575190746
Level,2.96875,404,19973,0.5487649044031224,0.10148514851485149,0.9960446602913934
Libraries,1.2109375,165,20212,0.6361285524950675,0.2787878787878788,0.9934692262022561
Magic,1.2109375,204,20173,0.6637887420868313,0.3382352941176471,0.9893421900560154
Makeup,1.2109375,31,20346,0.9024639859463539,0.8064516129032258,0.998476358989482
Map,4.375,805,19572,0.665045450910351,0.37515527950310557,0.9549356223175965
Masculine,1.2109375,140,20237,0.7949844344517467,0.6,0.9899688689034936
Medieval,1.2109375,28,20349,0.552392009435353,0.10714285714285714,0.997641161727849
Memes,1.2109375,40,20337,0.5736969562865712,0.15,0.9973939125731426
Minigames,1.5625,71,20306,0.6263173446272038,0.2535211267605634,0.9991135624938442
Miscellaneous,1.2109375,1418,18959,0.5279566975905471,0.06488011283497884,0.9910332823461153
Model,2.6171875,784,19593,0.6476474834306712,0.32653061224489793,0.9687643546164446
Modern,1.5625,29,20348,0.6502579258827437,0.3103448275862069,0.9901710241792805
Modpacks,2.6171875,1134,19243,0.7219323942071608,0.4488536155202822,0.9950111728940394
Monsters,1.2109375,137,20240,0.630163404114134,0.2773722627737226,0.9829545454545454
Multiplayer,1.2109375,475,19902,0.572106268082023,0.16421052631578947,0.9800020098482565
NPC,1.5625,256,20121,0.6692851995427662,0.375,0.9635703990855325
Overrides,1.2109375,24,20353,0.645268306064626,0.2916666666666667,0.9988699454625853
Pants,1.5625,50,20327,0.8279829783047179,0.66,0.9959659566094358
Preset,0.9296875,6,20371,0.5826951712401617,0.16666666666666666,0.9987236758136566
Prop,6.484375,25,20352,0.7534915487421384,0.56,0.9469830974842768
PvP,1.2109375,101,20276,0.6593714658504715,0.32673267326732675,0.9920102584336161
Quality of Life,1.2109375,105,20272,0.5904531702183635,0.19047619047619047,0.9904301499605367
Quests,1.5625,58,20319,0.7134909401935677,0.46551724137931033,0.9614646390078252
Realistic,2.6171875,748,19629,0.6655687944526039,0.3917112299465241,0.9394263589586835
Relaxing,1.5625,32,20345,0.6637157471123126,0.34375,0.9836814942246253
Roleplay,1.5625,751,19626,0.6576722052583036,0.3794940079893475,0.9358504025272597
Rooms,1.9140625,104,20273,0.7432159199996964,0.5096153846153846,0.9768164553840083
Scenario,1.5625,103,20274,0.7980854047127173,0.6019417475728155,0.9942290618526192
Scene,1.5625,565,19812,0.7003144156844248,0.41238938053097346,0.988239450837876
Server-side,2.265625,544,19833,0.5743118180186914,0.16727941176470587,0.9813442242726769
Shirts,1.5625,130,20247,0.832615088275186,0.6692307692307692,0.9959994073196029
Shoes,1.2109375,45,20332,0.7992622467047019,0.6,0.9985244934094039
Singleplayer,1.5625,983,19394,0.6372139667111862,0.2960325534079349,0.9783953800144375
Skins,1.5625,353,20024,0.6647984882729959,0.3314447592067989,0.998152217339193
Skirts,1.2109375,26,20351,0.7097203690614334,0.4230769230769231,0.9963638150459437
Storage,1.2109375,108,20269,0.6957932018060786,0.39814814814814814,0.9934382554640091
Suits,1.2109375,216,20161,0.7219745631003753,0.4583333333333333,0.9856157928674173
Tattoos,1.5625,46,20331,0.9018542042244335,0.8043478260869565,0.9993605823619104
Technology,1.5625,232,20145,0.6390644123210174,0.28448275862068967,0.9936460660213452
Textures,1.5625,173,20204,0.677757251754646,0.41040462427745666,0.9451098792318353
Tools,1.5625,300,20077,0.5899176503793727,0.19333333333333333,0.9865019674254122
Tooltip,1.2109375,147,20230,0.7164665866346539,0.4421768707482993,0.9907563025210084
Traditional,1.2109375,36,20341,0.6654130409845468,0.3333333333333333,0.9974927486357603
Traits,2.6171875,34,20343,0.8011550439376458,0.6176470588235294,0.9846630290517623
Translation,1.5625,31,20346,0.7358163449738873,0.4838709677419355,0.987761722205839
Tweaks,1.2109375,493,19884,0.5271486385743193,0.058823529411764705,0.9954737477368739
UI,2.265625,204,20173,0.6802264578066393,0.4166666666666667,0.9437862489466118
Utility,2.265625,287,20090,0.5986809357889498,0.24041811846689895,0.9569437531110006
Vehicle,2.265625,279,20098,0.7244497482051211,0.4982078853046595,0.9506916111055826
Video,2.265625,377,20000,0.7141566312997347,0.4350132625994695,0.9933
Weapons,1.5625,1043,19334,0.66283603041691,0.37775647171620325,0.9479155891176166
World,1.5625,105,20272,0.6927519073927914,0.41904761904761906,0.9664561957379637
World Gen,1.5625,130,20247,0.6994257458844806,0.4076923076923077,0.9911591840766534
