Tag,C,Positive Count,Negative Count,Accuracy,Positive Accuracy,Negative Accuracy
Abstract,1.5625,34,20343,0.852113460042622,0.7352941176470589,0.9689328024381851
Achievements,2.265625,89,20288,0.9076434179279056,0.8651685393258427,0.9501182965299685
Addon,1.5625,2031,18346,0.8345274995446949,0.7385524372230429,0.9305025618663468
Advanced,1.5625,23,20354,0.7535235035523409,0.5652173913043478,0.9418296158003341
Animal,2.265625,10,20367,0.8047797908381205,0.7,0.909559581676241
Anime,2.265625,461,19916,0.9173652442209558,0.8655097613882863,0.9692207270536253
Arena,1.5625,52,20325,0.8908326237108525,0.8076923076923077,0.9739729397293972
Assets,1.5625,22,20355,0.9297056787476832,0.8636363636363636,0.9957749938590027
Audio,2.265625,887,19490,0.7984415735413124,0.6561443066516347,0.9407388404309902
Automation,1.5625,31,20346,0.8503494385834737,0.7419354838709677,0.9587633932959796
Biomes,1.5625,62,20315,0.8887700173874382,0.8225806451612904,0.9549593896135861
Body,1.5625,318,20059,0.9779454069614135,0.9685534591194969,0.9873373548033302
Building,1.9140625,385,19992,0.7950307395685547,0.6961038961038961,0.8939575830332133
Campaigns,2.96875,202,20175,0.8413771823278982,0.7772277227722773,0.9055266418835192
Cards,2.265625,73,20304,0.9180365971480078,0.863013698630137,0.9730594956658787
Cartoon,2.96875,242,20135,0.8502278011849767,0.7892561983471075,0.9111994040228458
Characters,2.6171875,219,20158,0.8101776785313829,0.7123287671232876,0.9080265899394782
Client-side,2.265625,982,19395,0.7543588931785283,0.6629327902240326,0.8457849961330239
Clothing,2.265625,501,19876,0.9457313487334046,0.9041916167664671,0.9872710807003421
Co-op,6.484375,102,20275,0.8959515002055076,0.8333333333333334,0.9585696670776819
Code Mods,1.5625,53,20324,0.8893496117611672,0.8113207547169812,0.9673784688053533
Combat,2.265625,220,20157,0.8963002927022871,0.85,0.9426005854045741
Contraptions,1.5625,17,20360,0.8083771524326824,0.6470588235294118,0.9696954813359528
Cosmetic,1.2109375,482,19895,0.7724802098986483,0.6390041493775933,0.9059562704197034
Customizable,1.5625,263,20114,0.8900896071101942,0.8136882129277566,0.966491001292632
Decor,1.5625,176,20201,0.9339798378568118,0.8806818181818182,0.9872778575318053
Dependency,1.2109375,19,20358,0.9084286017135381,0.8421052631578947,0.9747519402691817
Development Tools,1.5625,41,20336,0.87433615263572,0.8048780487804879,0.943794256490952
Dresses,1.2109375,126,20251,0.9712524484387601,0.9523809523809523,0.990123944496568
Enemies,2.265625,61,20316,0.8124659075137419,0.7049180327868853,0.9200137822405985
Equipment,2.265625,83,20294,0.7904511512097468,0.6626506024096386,0.9182517000098551
Events,2.96875,124,20253,0.8849238583531234,0.8225806451612904,0.9472670715449563
Everyone,1.5625,895,19482,0.9171776382611309,0.8513966480446927,0.982958628477569
Exploration,1.5625,68,20309,0.8776093183839098,0.7941176470588235,0.961100989708996
Fantasy,1.5625,46,20331,0.8348158626898738,0.717391304347826,0.9522404210319217
Farming,2.265625,75,20302,0.8555689094670476,0.76,0.9511378189340952
Feminine,1.5625,499,19878,0.9695253773469064,0.9579158316633266,0.981134923030486
Food,3.671875,112,20265,0.852669319022946,0.7589285714285714,0.9464100666173205
Fun,2.265625,1109,19268,0.8577925471724073,0.8358881875563571,0.8796969067884576
Furniture,1.5625,31,20346,0.8213677571560393,0.7096774193548387,0.9330580949572398
Gameplay,2.265625,681,19696,0.7353727465105433,0.5697503671071953,0.9009951259138912
Hairstyles,1.5625,204,20173,0.9931151908540148,0.9901960784313726,0.9960343032766569
Head Accessories,2.265625,84,20293,0.9705727755055109,0.9523809523809523,0.9887645986300695
HUDs,1.5625,83,20294,0.8536976327503767,0.7590361445783133,0.9483591209224401
Items,2.265625,556,19821,0.7355724017728453,0.5971223021582733,0.8740225013874174
Improvements,0.96484375,5,20372,0.9456607107795012,1.0,0.8913214215590025
Language,2.265625,62,20315,0.8471596547918668,0.7096774193548387,0.9846418902288949
Level,4.0234375,404,19973,0.816453573710648,0.7178217821782178,0.9150853652430782
Libraries,6.484375,165,20212,0.8303268685269476,0.7333333333333333,0.927320403720562
Magic,2.265625,204,20173,0.8572063659152254,0.7892156862745098,0.9251970455559411
Makeup,1.2109375,31,20346,0.9792508950003647,0.967741935483871,0.9907598545168583
Map,6.484375,805,19572,0.8340104319391499,0.724223602484472,0.9437972613938279
Masculine,1.2109375,140,20237,0.9720511933586994,0.9714285714285714,0.9726738152888273
Medieval,2.265625,28,20349,0.7687355644011991,0.5714285714285714,0.9660425573738267
Memes,1.5625,40,20337,0.7599148104440183,0.575,0.9448296208880366
Minigames,2.265625,71,20306,0.8801585738205456,0.7887323943661971,0.9715847532748941
Miscellaneous,1.5625,1418,18959,0.6618712928968316,0.48730606488011285,0.8364365209135503
