Tag,C,Positive Count,Negative Count,Accuracy,Positive Accuracy,Negative Accuracy
Abstract,4.375,34,20343,0.8640990830781509,0.7941176470588235,0.9340805190974782
Achievements,7.890625,89,20288,0.8728724900754972,0.8314606741573034,0.9142843059936908
Addon,2.4765625,2031,18346,0.8552073032608114,0.809945839487937,0.9004687670336858
Advanced,1.4921875,23,20354,0.8283202532564905,0.7391304347826086,0.9175100717303724
Animal,3.671875,10,20367,0.823331860362351,0.8,0.8466637207247018
Anime,2.86328125,461,19916,0.9348798031994681,0.9154013015184381,0.9543583048804981
Arena,1.5625,52,20325,0.8944176364840571,0.8461538461538461,0.9426814268142681
Assets,1.5625,22,20355,0.9246209329849713,0.8636363636363636,0.985605502333579
Audio,1.0,887,19490,0.7940886923193058,0.6426155580608793,0.9455618265777321
Automation,2.265625,31,20346,0.9102042725367275,0.9032258064516129,0.9171827386218422
Biomes,22.65625,62,20315,0.8873258278881806,0.8548387096774194,0.9198129460989417
Body,2.265625,318,20059,0.9799473628268307,0.9811320754716981,0.9787626501819632
Building,1.0,385,19992,0.8087980646804176,0.7506493506493507,0.8669467787114846
Campaigns,2.96875,202,20175,0.864912216128676,0.8316831683168316,0.8981412639405204
Cards,2.6171875,73,20304,0.9285865124086488,0.9041095890410958,0.9530634357762018
Cartoon,1.5625,242,20135,0.8746738441142126,0.859504132231405,0.8898435559970201
Characters,1.84375,219,20158,0.8373584980027644,0.7945205479452054,0.8801964480603235
Client-side,1.0,982,19395,0.7559381052815068,0.6782077393075356,0.8336684712554782
Clothing,2.96875,501,19876,0.9575573646428215,0.9401197604790419,0.974994968806601
Co-op,3.25,102,20275,0.914635767994004,0.8921568627450981,0.93711467324291
Code Mods,2.265625,53,20324,0.921266520110066,0.9056603773584906,0.9368726628616414
Combat,1.24609375,220,20157,0.9113533759984125,0.9,0.922706751996825
Contraptions,1.4921875,17,20360,0.8824670634462036,0.8235294117647058,0.9414047151277014
Cosmetic,2.265625,482,19895,0.7870576752014466,0.7219917012448133,0.8521236491580799
Customizable,7.1875,263,20114,0.9352058286776779,0.9163498098859315,0.9540618474694242
Decor,2.96875,176,20201,0.9574331941263035,0.9431818181818182,0.9716845700707886
Dependency,2.265625,19,20358,0.9619934746976488,0.9473684210526315,0.9766185283426663
Development Tools,2.6171875,41,20336,0.913331038552321,0.926829268292683,0.899832808811959
Dresses,6.484375,126,20251,0.973294871583845,0.9603174603174603,0.9862722828502296
Enemies,8.2421875,61,20316,0.8481371381354921,0.8360655737704918,0.8602087025004922
Equipment,2.265625,83,20294,0.843830926346561,0.8192771084337349,0.868384744259387
Events,12.109375,124,20253,0.8994645158104813,0.8709677419354839,0.9279612896854786
Everyone,2.125,895,19482,0.9361733133980141,0.9083798882681564,0.9639667385278718
Exploration,1.4921875,68,20309,0.878454350867335,0.8235294117647058,0.9333792899699641
Fantasy,7.890625,46,20331,0.8510450949823893,0.8043478260869565,0.897742363877822
Farming,1.703125,75,20302,0.8944455390273536,0.8666666666666667,0.9222244113880406
Feminine,0.859375,499,19878,0.9785141265527332,0.9779559118236473,0.9790723412818191
Food,2.265625,112,20265,0.8732327905255366,0.8392857142857143,0.907179866765359
Fun,1.984375,1109,19268,0.8746038274049321,0.8764652840396754,0.8727423707701889
Furniture,3.671875,31,20346,0.8920434546855529,0.9032258064516129,0.8808611029194928
Gameplay,1.84375,681,19696,0.7644707632370326,0.697503671071953,0.8314378554021121
Hairstyles,1.5625,204,20173,0.9907853440290506,0.9901960784313726,0.9913746096267287
Head Accessories,2.40625,84,20293,0.9784120961251006,0.9761904761904762,0.980633716059725
HUDs,1.5625,83,20294,0.8706861544928111,0.8192771084337349,0.9220952005518872
Items,3.671875,556,19821,0.7329530956739074,0.6834532374100719,0.7824529539377428
Improvements,0.7890625,5,20372,0.9168466522678186,1.0,0.8336933045356372
Language,4.375,62,20315,0.8603923685819314,0.7741935483870968,0.946591188776766
Level,7.46875,404,19973,0.8640187768338743,0.8762376237623762,0.8517999299053722
Libraries,22.65625,165,20212,0.8194296517520345,0.7515151515151515,0.8873441519889175
Magic,9.296875,204,20173,0.8529620741371451,0.8431372549019608,0.8627868933723294
Makeup,1.5625,31,20346,0.976375636964387,0.967741935483871,0.9850093384449031
Map,12.25,805,19572,0.8440047450217258,0.7925465838509317,0.8954629061925199
Masculine,4.65625,140,20237,0.9725589267183872,0.9785714285714285,0.9665464248653457
Medieval,5.78125,28,20349,0.8085041033957443,0.7857142857142857,0.8312939210772028
Memes,2.265625,40,20337,0.8188566406057924,0.775,0.8627132812115847
Minigames,1.52734375,71,20306,0.8900817492366788,0.8309859154929577,0.9491775829803999
Miscellaneous,15.625,1418,18959,0.6446182471848725,0.5726375176304654,0.7165989767392795
Model,2.23046875,784,19593,0.884449438939563,0.8520408163265306,0.9168580615525953
Modern,4.0234375,29,20348,0.8332370206679636,0.7586206896551724,0.9078533516807549
Modpacks,1.0,1134,19243,0.9016985814306051,0.8350970017636684,0.9683001610975419
Monsters,2.546875,137,20240,0.8794828842214593,0.8759124087591241,0.8830533596837945
Multiplayer,3.25,475,19902,0.7395984534746574,0.6463157894736842,0.8328811174756305
NPC,2.1953125,256,20121,0.8953104227237711,0.86328125,0.9273395954475424
Overrides,2.96875,24,20353,0.8989553137129662,0.875,0.9229106274259323
Pants,15.625,50,20327,0.9785128154671128,0.98,0.9770256309342255
Preset,2.265625,6,20371,0.785765712696153,0.6666666666666666,0.9048647587256394
Prop,4.5859375,25,20352,0.9003989779874214,0.92,0.8807979559748428
PvP,1.24609375,101,20276,0.8628415490000372,0.801980198019802,0.9237028999802722
Quality of Life,4.375,105,20272,0.8329387003420152,0.8095238095238095,0.856353591160221
Quests,2.96875,58,20319,0.8801215441297512,0.8620689655172413,0.8981741227422609
Realistic,2.125,748,19629,0.8603299766824324,0.8609625668449198,0.859697386519945
Relaxing,2.96875,32,20345,0.9190871528631113,0.90625,0.9319243057262226
