Tag,C,Positive Count,Negative Count,Accuracy,Positive Accuracy,Negative Accuracy
Abstract,1.2109375,34,20343,0.885686939574532,0.8235294117647058,0.9478444673843582
Achievements,1.140625,89,20288,0.9070261825222415,0.8764044943820225,0.9376478706624606
Addon,15.625,2031,18346,0.8641546732073873,0.8143771541112752,0.9139321923034994
Advanced,1.2109375,23,20354,0.8865621969402446,0.8260869565217391,0.9470374373587501
Animal,3.0390625,10,20367,0.8950336328374331,0.9,0.8900672656748662
Anime,8.6640625,461,19916,0.9389017387125711,0.9175704989154013,0.9602329785097409
Arena,1.7734375,52,20325,0.8975172674803671,0.8461538461538461,0.948880688806888
Assets,1.5625,22,20355,0.9260456443580983,0.8636363636363636,0.988454925079833
Audio,3.671875,887,19490,0.8141765528299715,0.7249154453213078,0.9034376603386352
Automation,1.5625,31,20346,0.8995308580905179,0.8709677419354839,0.928093974245552
Biomes,2.265625,62,20315,0.8957924781466102,0.8548387096774194,0.9367462466158011
Body,1.2109375,318,20059,0.9807181236735278,0.9779874213836478,0.983448825963408
Building,7.1875,385,19992,0.8167421514060169,0.7636363636363637,0.8698479391756703
Campaigns,2.265625,202,20175,0.8893361306390861,0.8514851485148515,0.9271871127633209
Cards,3.3203125,73,20304,0.9259974416269957,0.8904109589041096,0.9615839243498818
Cartoon,1.0,242,20135,0.8718127843666819,0.8347107438016529,0.9089148249317109
Characters,5.4296875,219,20158,0.8292644501135097,0.7625570776255708,0.8959718226014486
Client-side,2.16015625,982,19395,0.7757441894287954,0.7342158859470469,0.8172724929105439
Clothing,1.5625,501,19876,0.9547810697783343,0.9301397205588823,0.9794224189977863
Co-op,6.484375,102,20275,0.9115396146127994,0.8725490196078431,0.9505302096177558
Code Mods,1.5625,53,20324,0.9066054446272276,0.8679245283018868,0.9452863609525683
Combat,1.28125,220,20157,0.8895284516545121,0.85,0.9290569033090241
Contraptions,1.5625,17,20360,0.9257786316884318,0.8823529411764706,0.9692043222003929
Cosmetic,1.5625,482,19895,0.7937956428928221,0.7302904564315352,0.8573008293541091
Customizable,2.96875,263,20114,0.9328334198490656,0.9049429657794676,0.9607238739186637
Decor,1.28125,176,20201,0.9588687666227145,0.9431818181818182,0.9745557150636107
Dependency,0.9296875,19,20358,0.9434633223199467,0.8947368421052632,0.9921898025346301
Development Tools,2.265625,41,20336,0.8732051534225019,0.8292682926829268,0.9171420141620771
Dresses,2.265625,126,20251,0.9814535907691802,0.9761904761904762,0.986716705347884
Enemies,6.484375,61,20316,0.854264102588931,0.819672131147541,0.888856074030321
Equipment,2.265625,83,20294,0.8648965626970284,0.8433734939759037,0.8864196314181532
Events,6.484375,124,20253,0.8966009416366831,0.8467741935483871,0.946427689724979
Everyone,0.859375,895,19482,0.9322316144568916,0.8871508379888268,0.9773123909249564
Exploration,1.5625,68,20309,0.89702551462261,0.8529411764705882,0.9411098527746319
Fantasy,3.671875,46,20331,0.866784606073826,0.8043478260869565,0.9292213860606955
Farming,2.96875,75,20302,0.8858408038616885,0.84,0.931681607723377
Feminine,1.2109375,499,19878,0.9760825101253922,0.9739478957915831,0.9782171244592012
Food,7.1875,112,20265,0.8946428571428571,0.875,0.9142857142857143
Fun,1.5625,1109,19268,0.8834752996647544,0.8809738503155996,0.8859767490139091
Furniture,1.6328125,31,20346,0.8580572229462555,0.8064516129032258,0.9096628329892854
Gameplay,1.140625,681,19696,0.7708214791407962,0.6754772393538914,0.8661657189277011
Hairstyles,1.0,204,20173,0.9943764622291686,0.9950980392156863,0.9936548852426511
Head Accessories,1.5625,84,20293,0.9737163061154093,0.9642857142857143,0.9831468979451042
HUDs,2.265625,83,20294,0.877843590781773,0.8313253012048193,0.9243618803587267
Items,1.31640625,556,19821,0.7435744608490595,0.6780575539568345,0.8090913677412845
Improvements,1.5625,5,20372,0.9687806793638327,1.0,0.9375613587276654
Language,4.7265625,62,20315,0.870286535453701,0.7741935483870968,0.9663795225203052
Level,1.0,404,19973,0.8128894800059288,0.7326732673267327,0.893105692685125
Libraries,1.9140625,165,20212,0.8328003466287655,0.7575757575757576,0.9080249356817732
Magic,1.45703125,204,20173,0.872292051208031,0.8480392156862745,0.8965448867297874
Makeup,1.5625,31,20346,0.9769900083395959,0.967741935483871,0.986238081195321
Map,15.625,805,19572,0.8510649641457628,0.7701863354037267,0.9319435928877989
Masculine,2.96875,140,20237,0.9734483866185699,0.9785714285714285,0.9683253446657113
Medieval,1.5625,28,20349,0.8438375350140056,0.7857142857142857,0.9019607843137255
Memes,1.2109375,40,20337,0.8249680385504253,0.75,0.8999360771008507
Minigames,1.0,71,20306,0.9028366000196986,0.8450704225352113,0.960602777504186
Miscellaneous,6.484375,1418,18959,0.6667009561349482,0.578984485190409,0.7544174270794873
Model,9.296875,784,19593,0.8759815823435484,0.826530612244898,0.9254325524421988
Modern,2.265625,29,20348,0.8120479518447972,0.6896551724137931,0.9344407312758011
Modpacks,1.0,1134,19243,0.9054589676027774,0.8430335097001763,0.9678844255053786
Monsters,1.9140625,137,20240,0.8814409566948445,0.8686131386861314,0.8942687747035574
Multiplayer,6.484375,475,19902,0.7559558679635477,0.6652631578947369,0.8466485780323586
NPC,2.265625,256,20121,0.8963244053165846,0.85546875,0.9371800606331693
Overrides,1.2109375,24,20353,0.9091995037586597,0.875,0.9433990075173193
Pants,1.0,50,20327,0.9513661632311704,0.92,0.9827323264623408
Preset,1.2109375,6,20371,0.7178219036866134,0.5,0.9356438073732266
Prop,22.65625,25,20352,0.8973751965408805,0.88,0.914750393081761
PvP,2.265625,101,20276,0.8449076018274544,0.7722772277227723,0.9175379759321365
Quality of Life,2.6171875,105,20272,0.8347605893186003,0.7904761904761904,0.8790449881610103
Quests,3.671875,58,20319,0.9021533268505272,0.8793103448275862,0.9249963088734682
Realistic,6.484375,748,19629,0.8419539748429626,0.803475935828877,0.8804320138570483
Relaxing,2.96875,32,20345,0.9241743978864586,0.90625,0.9420987957729172
Roleplay,1.5625,751,19626,0.8467668639239532,0.8029294274300932,0.8906043004178131
Rooms,6.484375,104,20273,0.928839845721289,0.8942307692307693,0.9634489222118088
Scenario,1.9140625,103,20274,0.9556613233650446,0.9320388349514563,0.9792838117786328
Scene,3.3203125,565,19812,0.9279528005731754,0.8973451327433628,0.9585604684029881
Server-side,1.0,544,19833,0.7612299835983403,0.6544117647058824,0.8680482024907982
Shirts,1.2109375,130,20247,0.98213334549088,0.9846153846153847,0.9796513063663753
Shoes,1.2109375,45,20332,0.9693182066583601,0.9555555555555556,0.9830808577611647
Singleplayer,8.59375,983,19394,0.8955623447425456,0.8606307222787386,0.9304939672063525
Skins,4.0234375,353,20024,0.8666208906253006,0.7790368271954674,0.9542049540551338
Skirts,0.859375,26,20351,0.9723421264500327,0.9615384615384616,0.9831457913616038
Storage,3.671875,108,20269,0.8704297568079697,0.8148148148148148,0.9260446988011248
Suits,1.5625,216,20161,0.8990674836088011,0.8657407407407407,0.9323942264768613
Tattoos,0.6484375,46,20331,0.9886385750610013,0.9782608695652174,0.9990162805567852
Technology,4.0234375,232,20145,0.8341005083831874,0.771551724137931,0.8966492926284437
Textures,6.484375,173,20204,0.852337944869842,0.8034682080924855,0.9012076816471986
Tools,1.3515625,300,20077,0.7765922033504342,0.6833333333333333,0.869851073367535
Tooltip,2.265625,147,20230,0.8823317562319046,0.8367346938775511,0.9279288185862581
Traditional,1.5625,36,20341,0.9216333732090086,0.8888888888888888,0.9543778575291284
Traits,22.65625,34,20343,0.8852611535692289,0.7941176470588235,0.9764046600796342
Translation,6.484375,31,20346,0.8780857297780653,0.8064516129032258,0.9497198466529048
Tweaks,6.484375,493,19884,0.8082480312791881,0.7768762677484787,0.8396197948098975
UI,6.484375,204,20173,0.8241535473059992,0.7696078431372549,0.8786992514747435
Utility,6.484375,287,20090,0.7871329019412643,0.7421602787456446,0.8321055251368841
Vehicle,2.6171875,279,20098,0.8990099052278245,0.8602150537634409,0.9378047566922082
Video,2.6171875,377,20000,0.9277996021220158,0.8938992042440318,0.9617
Weapons,5.078125,1043,19334,0.8713201627622653,0.8235858101629914,0.9190545153615393
World,6.484375,105,20272,0.8943583925282821,0.8380952380952381,0.950621546961326
World Gen,2.6171875,130,20247,0.8641549935223072,0.8153846153846154,0.912925371659999
