Tag,C,Positive Count,Negative Count,Accuracy,Positive Accuracy,Negative Accuracy
Abstract,2.96875,34,20343,0.8708335863470886,0.7941176470588235,0.9475495256353537
Achievements,1.421875,89,20288,0.8948526056250665,0.8651685393258427,0.9245366719242902
Addon,2.265625,2031,18346,0.8590956198760056,0.8050221565731167,0.9131690831788946
Advanced,1.31640625,23,20354,0.8305065557031841,0.7391304347826086,0.9218826766237594
Animal,2.265625,10,20367,0.8354347719349928,0.8,0.8708695438699857
Anime,5.78125,461,19916,0.9308074389659999,0.9023861171366594,0.9592287607953405
Arena,12.109375,52,20325,0.8946882391900842,0.8461538461538461,0.9432226322263223
Assets,1.9140625,22,20355,0.9234664254929545,0.8636363636363636,0.9832964873495456
Audio,2.265625,887,19490,0.8093299949154396,0.7215332581736189,0.8971267316572601
Automation,1.5625,31,20346,0.8986461633102172,0.8709677419354839,0.9263245846849504
Biomes,1.140625,62,20315,0.8961862758330488,0.8548387096774194,0.9375338419886783
Body,0.859375,318,20059,0.9818148882181214,0.9779874213836478,0.9856423550525949
Building,2.4765625,385,19992,0.8110184983084143,0.7584415584415585,0.8635954381752701
Campaigns,4.0234375,202,20175,0.8767772093194449,0.8415841584158416,0.9119702602230483
Cards,4.0234375,73,20304,0.9249385369776655,0.8904109589041096,0.9594661150512215
Cartoon,1.5625,242,20135,0.8727268622746872,0.8512396694214877,0.8942140551278868
Characters,1.0,219,20158,0.8350471911171153,0.776255707762557,0.8938386744716738
Client-side,6.484375,982,19395,0.7597151931466579,0.7046843177189409,0.8147460685743748
Clothing,2.265625,501,19876,0.9589491775153658,0.93812375249501,0.9797746025357215
Co-op,12.109375,102,20275,0.9133836222528469,0.8823529411764706,0.9444143033292232
Code Mods,2.265625,53,20324,0.9343414979223374,0.9245283018867925,0.9441546939578823
Combat,1.2109375,220,20157,0.9110061020985265,0.9,0.9220122041970531
Contraptions,1.38671875,17,20360,0.8833020339766555,0.8235294117647058,0.9430746561886051
Cosmetic,2.96875,482,19895,0.785382490439955,0.7095435684647303,0.8612214124151797
Customizable,10.59765625,263,20114,0.9363871181414227,0.9125475285171103,0.9602267077657353
Decor,1.5625,176,20201,0.9601063291196206,0.9431818181818182,0.9770308400574229
Dependency,1.5625,19,20358,0.9627057254098996,0.9473684210526315,0.9780430297671677
Development Tools,2.265625,41,20336,0.9187647521636506,0.926829268292683,0.9107002360346184
Dresses,1.5625,126,20251,0.9815029710466973,0.9761904761904762,0.9868154659029184
Enemies,3.671875,61,20316,0.8428187102792275,0.8032786885245902,0.882358732033865
Equipment,6.484375,83,20294,0.8448039719734364,0.8072289156626506,0.882379028284222
Events,6.484375,124,20253,0.899275376168883,0.8548387096774194,0.9437120426603466
Everyone,6.484375,895,19482,0.9324011449617724,0.8938547486033519,0.970947541320193
Exploration,1.2109375,68,20309,0.8891555612840438,0.8382352941176471,0.9400758284504407
Fantasy,1.9140625,46,20331,0.8528409175963885,0.782608695652174,0.923073139540603
Farming,2.265625,75,20302,0.8817032804649788,0.84,0.9234065609299577
Feminine,1.31640625,499,19878,0.9766569057220992,0.9759519038076152,0.9773619076365831
Food,1.5625,112,20265,0.875430236861584,0.8303571428571429,0.9205033308660252
Fun,1.5625,1109,19268,0.8765209274411916,0.8737601442741209,0.8792817106082624
Furniture,2.265625,31,20346,0.868091691162248,0.8387096774193549,0.8974737049051411
Gameplay,1.5625,681,19696,0.7627135096640745,0.6828193832599119,0.8426076360682372
Hairstyles,1.5625,204,20173,0.9912810561194686,0.9901960784313726,0.9923660338075646
Head Accessories,1.0,84,20293,0.9804078582105488,0.9761904761904762,0.9846252402306214
HUDs,1.10546875,83,20294,0.862555375735721,0.7951807228915663,0.9299300285798758
Items,1.140625,556,19821,0.744097986330173,0.6690647482014388,0.8191312244589072
Improvements,0.578125,5,20372,0.9233752208914197,1.0,0.8467504417828392
Language,1.5625,62,20315,0.8792617087326224,0.7903225806451613,0.9682008368200837
Level,1.0,404,19973,0.8718495835714848,0.8638613861386139,0.8798377810043558
Libraries,2.265625,165,20212,0.834358676813654,0.7696969696969697,0.8990203839303385
Magic,1.9140625,204,20173,0.8730823960972879,0.8529411764705882,0.8932236157239876
Makeup,1.5625,31,20346,0.9771374574696461,0.967741935483871,0.9865329794554212
Map,12.109375,805,19572,0.8530273949475293,0.7813664596273292,0.9246883302677295
Masculine,1.0703125,140,20237,0.9766244996788062,0.9857142857142858,0.9675347136433265
Medieval,1.5625,28,20349,0.8079512506757089,0.7142857142857143,0.9016167870657035
Memes,1.5625,40,20337,0.8432807198701874,0.8,0.8865614397403747
Minigames,2.6171875,71,20306,0.894710922879937,0.8450704225352113,0.9443514232246627
Miscellaneous,2.265625,1418,18959,0.6711237209891942,0.5860366713681241,0.7562107706102642
Model,6.484375,784,19593,0.8816452760096536,0.8354591836734694,0.9278313683458378
Modern,3.671875,29,20348,0.8410019115663321,0.7586206896551724,0.9233831334774917
Modpacks,10.0,1134,19243,0.9021282711109315,0.8483245149911817,0.9559320272306813
Monsters,1.9140625,137,20240,0.8700967946683592,0.8467153284671532,0.8934782608695652
Multiplayer,1.5625,475,19902,0.7496352654321967,0.6357894736842106,0.8634810571801829
NPC,1.9140625,256,20121,0.8988390743812436,0.86328125,0.934396898762487
Overrides,2.265625,24,20353,0.907528988355525,0.875,0.94005797671105
Pants,1.5625,50,20327,0.9813169675800659,0.98,0.9826339351601319
Preset,1.2109375,6,20371,0.7960990296663557,0.6666666666666666,0.9255313926660449
Prop,4.375,25,20352,0.9088993710691824,0.92,0.8977987421383647
PvP,1.0,101,20276,0.8646417068220928,0.801980198019802,0.9273032156243836
Quality of Life,2.265625,105,20272,0.8324421204946066,0.7904761904761904,0.8744080505130228
Quests,1.2109375,58,20319,0.8742488345374042,0.8275862068965517,0.9209114621782568
Realistic,6.484375,748,19629,0.854424439665964,0.8342245989304813,0.8746242804014468
Relaxing,1.9140625,32,20345,0.9246904952076678,0.90625,0.9431309904153354
Roleplay,1.5625,751,19626,0.8484567538129466,0.8162450066577897,0.8806685009681036
Rooms,1.5625,104,20273,0.9327596575968795,0.9038461538461539,0.9616731613476052
Scenario,1.5625,103,20274,0.950609657402326,0.9223300970873787,0.9788892177172733
Scene,1.5625,565,19812,0.923072098969249,0.8867256637168142,0.9594185342216839
Server-side,1.0,544,19833,0.7581701045642883,0.6488970588235294,0.8674431503050472
Shirts,6.484375,130,20247,0.983294011268526,0.9846153846153847,0.9819726379216674
Shoes,0.7890625,45,20332,0.9703756530482873,0.9555555555555556,0.985195750541019
Singleplayer,3.671875,983,19394,0.8958556416070202,0.866734486266531,0.9249767969475096
Skins,2.125,353,20024,0.8703320887456298,0.7932011331444759,0.9474630443467839
Skirts,1.5625,26,20351,0.9700572264451189,0.9615384615384616,0.9785759913517763
Storage,1.03515625,108,20269,0.8768601659531158,0.8240740740740741,0.9296462578321575
Suits,2.96875,216,20161,0.88777459506528,0.8472222222222222,0.9283269679083379
Tattoos,0.6484375,46,20331,0.9887861329774835,0.9782608695652174,0.9993113963897496
Technology,2.6875,232,20145,0.8336785674549174,0.771551724137931,0.8958054107719037
Textures,3.671875,173,20204,0.8570594388108347,0.8092485549132948,0.9048703227083745
Tools,7.890625,300,20077,0.7823527751490097,0.7133333333333334,0.851372216964686
Tooltip,0.96484375,147,20230,0.9042970129228162,0.8775510204081632,0.9310430054374691
Traditional,1.5625,36,20341,0.9375133146518526,0.9166666666666666,0.9583599626370385
Traits,2.265625,34,20343,0.9273879438222716,0.8823529411764706,0.9724229464680726
Translation,6.484375,31,20346,0.8454344675818026,0.7419354838709677,0.9489334512926374
Tweaks,6.484375,493,19884,0.8065296978050788,0.7809330628803245,0.832126332729833
UI,8.59375,204,20173,0.8093705136840836,0.7450980392156863,0.8736429881524811
Utility,6.484375,287,20090,0.7745893479342957,0.7317073170731707,0.8174713787954206
Vehicle,2.96875,279,20098,0.894432335320371,0.8602150537634409,0.9286496168773012
Video,1.9140625,377,20000,0.9241970822281167,0.8885941644562334,0.9598
Weapons,2.265625,1043,19334,0.8647299016997563,0.8149568552253116,0.9145029481742009
World,6.484375,105,20272,0.8914989476453565,0.8476190476190476,0.9353788476716653
World Gen,1.80859375,130,20247,0.8695569334108377,0.823076923076923,0.9160369437447523
